"charger_station","location","approx_coordinates","objectid"
"OKQ8 Ulricehamn Strängsered","Strängsered, 52391 Ulricehamn","57°46'47.7""N 13°39'44.5""E","269"
"OKQ8 Vilhelmina Volgsjövägen 58","Volgsjövägen 58, 91232 Vilhelmina","64°37'19.2""N 16°39'56.9""E","649"
"von Utfallsgatan 29","von Utfallsgatan 29, 41505 Göteborg","57°43'56.6""N 12°3'10.6""E","9"
"Bönekullavägen 14","Bönekullevägen 14, 41746 Göteborg","57°46'13.7""N 11°53'35.7""E","13"
"Rifil Perstorp","Verkstadsgatan 3B, 28434 Perstorp","56°8'1.8""N 13°23'17.0""E","2"
"Nordemans Bil Lycksele","Umevägen 5, 92145 Lycksele","64°35'20.4""N 18°41'35.7""E","45"
"Gävle Hamn - Tunga fordon","Fraktvägen 3, 80647 Gävle","60°41'56.1""N 17°12'12.8""E","35"
"Forsbacka - Laddare tunga fordon","Stentorpsvägen, 81841 Forsbacka","60°37'45.4""N 16°53'16.0""E","33"
"Västerslätt - Umeå Energi","Godsvägen 12, 90132 Umeå","63°51'19.4""N 20°12'58.7""E","86"
"Rifil Helsingborg","Trintegatan 3, 25368 Helsingborg","56°1'15.0""N 12°45'59.6""E","577"
"OKQ8 Truck Hisings Backa Importgatan 22","Importgatan 22, 42246 Hisings Backa","57°45'12.7""N 11°59'38.9""E","565"
"Rifil Höör Lastbil","Verkstadsgatan 2B, 24332 Höör","55°56'19.0""N 13°33'17.3""E","576"
"IONITY GmbH IONITY Jävre","Jävrevägen 200, 94494 Jävrebyn","65°8'35.2""N 21°30'15.4""E","430"
"Nima Energy Munkedal","Tradenvägen 10, 45591 Munkedal","58°29'20.9""N 11°37'40.7""E","115"
"Nima Energy Kristianstad Vä","Ubbes väg 3, 29165 Kristianstad","56°0'4.7""N 14°5'54.8""E","438"
"Nima Energy Skillingaryd","Osbäcks väg 4, 56832 Skillingaryd","57°27'2.3""N 14°6'3.9""E","102"
"Rifil Hörby","Guldgatan 2, 24235 Hörby","55°51'53.7""N 13°41'31.7""E","578"
"Hedin Supercharge Linköping","Gudmundsgatan 3, 58272 Linköping","58°25'48.8""N 15°40'3.8""E","270"
"Rifil Malmö","Gullrisvägen 7, 23261 Arlöv","55°36'50.5""N 13°6'1.9""E","223"
"Grusåsvägen 3B","Grusåsvägen 3B, 59362 Västervik","57°46'10.6""N 16°35'39.9""E","12"
"Scania Sverige AB / Norrköping","Ströbogatan 32, 61634 Åby","58°38'35.3""N 16°10'25.0""E","665"
"OKQ8 Truck Gällö Hallåsen 110","Hallåsen 110, 84395 Gällö","62°55'0.6""N 15°15'17.6""E","364"
"Mjölby Burger King","Brahegatan 10, 59535 Mjölby","58°19'19.7""N 15°5'16.8""E","572"
"Alfredsson Energy","Kvicksilvergatan 4, 60223 Norrköping","58°37'18.3""N 16°10'1.8""E","116"
"Scania Sverige Hising Backa","Exportgatan 37, 42246 Hisings Backa","57°44'4.2""N 11°59'17.2""E","662"
"Scania Sverige Kallhäll","Skarprättarvägen 10, 17677 Järfälla","59°27'54.7""N 17°49'9.2""E","663"
"Scania Sverige Helsingborg","Trintegatan 6, 25368 Helsingborg","56°1'13.0""N 12°46'18.3""E","657"
"Klevshult - Åkaregatan 5","Åkaregatan 5, 56892 Skillingaryd","57°20'55.7""N 14°5'52.0""E","101"
"OKQ8 Truck Brålanda Storgatan 62","STORGATAN 62, 46461 Brålanda","58°33'34.4""N 12°21'32.4""E","345"
"Helsingborgs Hamn | GITO","Oljehamnsleden, 25225 Helsingborg","56°1'47.4""N 12°42'0.2""E","332"
"Norrköping Åby trafikplats","Cylindervägen, 61634 Åby","58°38'49.3""N 16°10'7.5""E","526"
"IONITY GmbH IONITY Kristianstad","Ringvägen 22, 29154 Kristianstad","56°1'24.1""N 14°10'25.4""E","376"
"OKQ8 Truck Båstad Lannamärkesvägen 390","Lannamärkesvägen 390, 26996 Båstad","56°23'19.7""N 12°56'12.0""E","333"
"Preem Gävle Bro Truck","Gävle brovägen 25, 80293 Gävle","60°38'54.1""N 17°7'5.8""E","580"
"Ängelholm Transportgatan | GITO","Transportgatan 4, 26271 Ängelholm","56°14'50.6""N 12°53'36.8""E","268"
"Rosersberg Einride Station","Skaft Väg, 19572 Rosersberg","59°33'48.3""N 17°53'23.6""E","252"
"Eskilstuna Einride Station","Propellervägen 7, 63506 Eskilstuna","59°21'47.2""N 16°41'14.3""E","307"
"Falkenberg, Sweden","6, Mellangårdsvägen, 31150 Falkenberg","56°55'54.7""N 12°31'7.8""E","97"
"Risträsk publik snabbladdning","Risträskberget, 92193 Lycksele","64°44'11.3""N 17°24'43.8""E","650"
"Malmö VTC | GITO","Mor Marnas väg 2, 23261 Arlöv","55°37'1.5""N 13°7'16.2""E","329"
"Cheap Charge Bromölla Skåneporten Trucks","Kristianstadsvägen 782, 29539 Bromölla","56°3'47.8""N 14°29'49.5""E","67"
"Recharge Preem Sigtuna Rosersberg E4","Norrsundavägen 202, 19570 Rosersberg","59°34'33.0""N 17°53'51.8""E","448"
"Recharge HDV Rasta Hagsta","Ockelbovägen 40, 81793 Hamrångefjärden","60°54'14.2""N 17°1'6.4""E","133"
